Substance,Period,Date,Value1,Value2,Value3,Value4
TSP,24h,,120,,,
PM10,24h,13.07.2022,50,75,22,21
Benzen,24h,,,,,
SO 2,24h,14.07.2022,125,125,8,8
ČAĐ,24h,14.07.2022,50,8,17,
NO,2 24h,14.07.2022,85,125,4,3
NH3,24h,14.07.2022,100,29,10,
TSP,24h,,120,,,
PM10,24h,14.07.2022,50,75,27,21
Benzen,24h,,,,,
SO 2,24h,15.07.2022,125,125,8,8
ČAĐ,24h,15.07.2022,50,5,9,
NO,2 24h,15.07.2022,85,125,7,5
NH3,24h,15.07.2022,100,10,1,
TSP,24h,,120,,,
PM10,24h,15.07.2022,50,75,28,23
Benzen,24h,,,,,
SO 2,24h,16.07.2022,125,125,8,8
ČAĐ,24h,16.07.2022,50,10,12,
NO,2 24h,16.07.2022,85,125,7,4
NH3,24h,16.07.2022,100,11,10,
TSP,24h,,120,,,
PM10,24h,16.07.2022,50,75,22,16
Benzen,24h,,,,,
SO 2,24h,17.07.2022,125,125,8,8
ČAĐ,24h,17.07.2022,50,4,4,
NO,2 24h,17.07.2022,85,125,2,9
NH3,24h,17.07.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,17.07.2022,50,75,21,13
Benzen,24h,17.07.2022,,,,
SO 2,24h,18.07.2022,125,125,8,8
ČAĐ,24h,18.07.2022,50,9,9,
NO,2 24h,18.07.2022,85,125,11,3
NH3,24h,18.07.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,18.07.2022,50,75,35,20
Benzen,24h,,,,,
SO 2,24h,19.07.2022,125,125,8,8
ČAĐ,24h,19.07.2022,50,12,12,
NO,2 24h,19.07.2022,85,125,7,8
NH3,24h,19.07.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,19.07.2022,50,75,35,25
Benzen,24h,,,,,
SO 2,24h,20.07.2022,125,125,8,8
ČAĐ,24h,20.07.2022,50,12,8,
NO,2 24h,20.07.2022,85,125,6,6
NH3,24h,20.07.2022,100,10,22,
TSP,24h,,120,,,
PM10,24h,20.07.2022,50,75,33,25
Benzen,24h,,,,,
SO 2,24h,21.07.2022,125,125,8,8
ČAĐ,24h,21.07.2022,50,6,4,
NO,2 24h,21.07.2022,85,125,2,4
NH3,24h,21.07.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,21.07.2022,50,75,44,31
Benzen,24h,,,,,
SO 2,24h,22.07.2022,125,125,8,8
ČAĐ,24h,22.07.2022,50,20,10,
NO,2 24h,22.07.2022,85,125,7,4
NH3,24h,22.07.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,22.07.2022,50,75,34,28
Benzen,24h,,,,,
SO 2,24h,23.07.2022,125,125,8,8
ČAĐ,24h,23.07.2022,50,15,18,
NO,2 24h,23.07.2022,85,125,3,2
NH3,24h,23.07.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,23.07.2022,50,75,51,45
Benzene,24h,,,2,,
SO 2,24h,24.07.2022,125,125,8,8
ČAĐ,24h,24.07.2022,50,5,5,
NO,2 24h,24.07.2022,85,125,4,6
NH3,24h,24.07.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,24.07.2022,50,75,27,23
Benzen,24h,,,,,
SO 2,24h,25.07.2022,125,125,8,8
ČAĐ,24h,25.07.2022,50,9,5,
NO,2 24h,25.07.2022,85,125,16,12
NH3,24h,25.07.2022,100,21,10,
TSP,24h,,120,,,
PM10,24h,25.07.2022,50,75,31,26
Benzen,24h,,,,,
SO 2,24h,26.07.2022,125,125,8,8
ČAĐ,24h,26.07.2022,50,4,4,
NO,2 24h,26.07.2022,85,125,4,12
NH3,24h,26.07.2022,100,13,23,
TSP,24h,,120,,,
PM10,24h,26.07.2022,50,75,35,30
Benzen,24h,,,,,
SO 2,24h,27.08.2022,125,125,8,8
ČAĐ,24h,27.08.2022,50,4,4,
NO,2 24h,27.08.2022,85,125,4,7
NH3,24h,27.08.2022,100,11,10,
TSP,24h,,120,,,
PM10,24h,27.08.2022,50,75,28,24
Benzen,24h,,,,,
SO 2,24h,28.07.2022,125,125,8,8
ČAĐ,24h,28.07.2022,50,4,14,
NO,2 24h,28.07.2022,85,125,2,8
NH3,24h,28.07.2022,100,11,10,
TSP,24h,,120,,,
PM10,24h,28.07.2022,50,75,28,23
Benzen,24h,,,,,
SO 2,24h,29.07.2022,125,125,8,8
ČAĐ,24h,29.07.2022,50,7,6,
NO,2 24h,29.07.2022,85,125,5,9
NH3,24h,29.07.2022,100,15,10,
TSP,24h,,120,,,
PM10,24h,29.07.2022,50,75,33,27
Benzen,24h,29.07.2022,,,,
SO 2,24h,30.07.2022,125,125,8,8
ČAĐ,24h,30.07.2022,50,5,4,
NO,2 24h,30.07.2022,85,125,3,7
NH3,24h,30.07.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,30.07.2022,50,75,27,22
Benzen,24h,,,,,
SO 2,24h,31.07.2022,125,125,8,8
ČAĐ,24h,31.07.2022,50,4,4,
NO,2 24h,31.07.2022,85,125,7,7
NH3,24h,31.07.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,31.07.2022,50,75,18,16
Benzen,24h,,,,,
SO 2,24h,01.05.2022,125,125,8,8
ČAĐ,24h,01.05.2022,50,4,4,
NO,2 24h,01.05.2022,85,125,5,4
NH3,24h,01.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,01.05.2022,50,75,19,21
Benzen,24h,,,,,
SO 2,24h,02.05.2022,125,125,8,8
ČAĐ,24h,02.05.2022,50,6,5,
NO,2 24h,02.05.2022,85,125,5,7
NH3,24h,02.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,02.05.2022,50,75,25,23
Benzen,24h,,,,,
SO 2,24h,03.05.2022,125,125,8,8
ČAĐ,24h,03.05.2022,50,11,6,
NO,2 24h,03.05.2022,85,125,3,3
NH3,24h,03.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,03.05.2022,50,75,28,30
Benzen,24h,,,,,
SO 2,24h,04.05.2022,125,125,8,8
ČAĐ,24h,04.05.2022,50,8,5,
NO,2 24h,04.05.2022,85,125,2,2
NH3,24h,04.05.2022,100,11,10,
TSP,24h,,120,,,
PM10,24h,04.05.2022,50,75,29,28
Benzen,24h,,,,,
SO 2,24h,05.05.2022,125,125,8,8
ČAĐ,24h,05.05.2022,50,8,6,
NO,2 24h,05.05.2022,85,125,2,2
NH3,24h,05.05.2022,100,11,10,
TSP,24h,,120,,,
PM10,24h,05.05.2022,50,75,26,27
Benzen,24h,,,,,
SO 2,24h,06.05.2022,125,125,8,8
ČAĐ,24h,06.05.2022,50,6,6,
NO,2 24h,06.05.2022,85,125,3,5
NH3,24h,06.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,06.05.2022,50,75,27,29
Benzen,24h,06.05.2022,,,,
SO 2,24h,07.05.2022,125,125,8,8
ČAĐ,24h,07.05.2022,50,6,4,
NO,2 24h,07.05.2022,85,125,4,6
NH3,24h,07.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,07.05.2022,50,75,25,30
Benzen,24h,,,,,
SO 2,24h,08.05.2022,125,125,8,8
ČAĐ,24h,08.05.2022,50,7,4,
NO,2 24h,08.05.2022,85,125,2,3
NH3,24h,08.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,08.05.2022,50,75,26,29
Benzen,24h,,,,,
SO 2,24h,09.05.2022,125,125,8,8
ČAĐ,24h,09.05.2022,50,4,5,
NO,2 24h,09.05.2022,85,125,2,2
NH3,24h,09.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,09.05.2022,50,75,28,26
Benzen,24h,,,,,
SO 2,24h,10.05.2022,125,125,8,8
ČAĐ,24h,10.05.2022,50,9,4,
NO,2 24h,10.05.2022,85,125,23,19
NH3,24h,10.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,10.05.2022,50,75,28,25
Benzen,24h,,,,,
SO 2,24h,11.05.2022,125,125,8,8
ČAĐ,24h,11.05.2022,50,23,4,
NO,2 24h,11.05.2022,85,125,23,23
NH3,24h,11.05.2022,100,13,12,
TSP,24h,,120,,,
PM10,24h,11.05.2022,50,75,34,37
Benzen,24h,,,,,
SO 2,24h,12.05.2022,125,125,8,8
ČAĐ,24h,12.05.2022,50,24,19,
NO,2 24h,12.05.2022,85,125,28,27
NH3,24h,12.05.2022,100,10,11,
TSP,24h,,120,,,
PM10,24h,12.05.2022,50,75,50,50
Benzen,24h,12.05.2022,,,,
SO 2,24h,13.05.2022,125,125,8,8
ČAĐ,24h,13.05.2022,50,6,4,
NO,2 24h,13.05.2022,85,125,24,14
NH3,24h,13.05.2022,100,10,26,
TSP,24h,,120,,,
PM10,24h,13.05.2022,50,75,32,32
Benzen,24h,,,,,
SO 2,24h,14.05.2022,125,125,8,8
ČAĐ,24h,14.05.2022,50,4,4,
NO,2 24h,14.05.2022,85,125,3,11
NH3,24h,14.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,14.05.2022,50,75,31,28
Benzen,24h,,,,,
SO 2,24h,15.05.2022,125,125,8,8
ČAĐ,24h,15.05.2022,50,10,6,
NO,2 24h,15.05.2022,85,125,24,21
NH3,24h,15.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,15.05.2022,50,75,35,35
Benzen,24h,,,,,
SO 2,24h,16.05.2022,125,125,8,10
ČAĐ,24h,16.05.2022,50,11,8,
NO,2 24h,16.05.2022,85,125,3,20
NH3,24h,16.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,16.05.2022,50,75,39,44
Benzen,24h,,,,,
SO 2,24h,17.05.2022,125,125,8,8
ČAĐ,24h,17.05.2022,50,5,4,
NO,2 24h,17.05.2022,85,125,13,11
NH3,24h,17.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,17.05.2022,50,75,35,26
Benzen,24h,,,,,
SO 2,24h,18.05.2022,125,125,8,8
ČAĐ,24h,18.05.2022,50,4,4,
NO,2 24h,18.05.2022,85,125,2,5
NH3,24h,18.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,18.05.2022,50,75,24,22
Benzene,24h,,,2,,
SO 2,24h,19.05.2022,125,125,8,8
ČAĐ,24h,19.05.2022,50,8,16,
NO,2 24h,19.05.2022,85,125,15,17
NH3,24h,19.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,19.05.2022,50,75,34,30
Benzen,24h,,,,,
SO 2,24h,20.05.2022,125,125,8,8
ČAĐ,24h,20.05.2022,50,10,19,
NO,2 24h,20.05.2022,85,125,9,10
NH3,24h,20.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,20.05.2022,50,75,31,28
Benzen,24h,,,,,
SO 2,24h,21.05.2022,125,125,8,8
ČAĐ,24h,21.05.2022,50,6,6,
NO,2 24h,21.05.2022,85,125,11,11
NH3,24h,21.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,21.05.2022,50,75,29,29
Benzen,24h,,,,,
SO 2,24h,22.05.2022,125,125,8,8
ČAĐ,24h,22.05.2022,50,4,4,
NO,2 24h,22.05.2022,85,125,2,3
NH3,24h,22.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,22.05.2022,50,75,18,17
Benzen,24h,,,,,
SO 2,24h,23.05.2022,125,125,8,8
ČAĐ,24h,23.05.2022,50,4,4,
NO,2 24h,23.05.2022,85,125,4,5
NH3,24h,23.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,23.05.2022,50,75,24,21
Benzen,24h,,,,,
SO 2,24h,24.05.2022,125,125,8,8
ČAĐ,24h,24.05.2022,50,4,4,
NO,2 24h,24.05.2022,85,125,4,7
NH3,24h,24.05.2022,100,12,21,
TSP,24h,,120,,,
PM10,24h,24.05.2022,50,75,29,33
Benzene,24h,,,2,,
SO 2,24h,25.05.2022,125,125,8,8
ČAĐ,24h,25.05.2022,50,4,4,
NO,2 24h,25.05.2022,85,125,2,2
NH3,24h,25.05.2022,100,40,10,
TSP,24h,,120,,,
PM10,24h,25.05.2022,50,75,42,33
Benzen,24h,,,,,
SO 2,24h,26.05.2022,125,125,8,8
ČAĐ,24h,26.05.2022,50,8,7,
NO,2 24h,26.05.2022,85,125,2,3
NH3,24h,26.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,26.05.2022,50,75,31,24
Benzen,24h,,,,,
SO 2,24h,27.05.2022,125,125,8,8
ČAĐ,24h,27.05.2022,50,8,11,
NO,2 24h,27.05.2022,85,125,2,2
NH3,24h,27.05.2022,100,14,10,
TSP,24h,,120,,,
PM10,24h,27.05.2022,50,75,42,34
Benzen,24h,,,,,
SO 2,24h,28.05.2022,125,125,8,8
ČAĐ,24h,28.05.2022,50,4,4,
NO,2 24h,28.05.2022,85,125,7,5
NH3,24h,28.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,28.05.2022,50,75,15,14
Benzen,24h,,,,,
SO 2,24h,29.05.2022,125,125,8,8
ČAĐ,24h,29.05.2022,50,4,4,
NO,2 24h,29.05.2022,85,125,3,4
NH3,24h,29.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,29.05.2022,50,75,16,14
Benzen,24h,,,,,
SO 2,24h,30.05.2022,125,125,8,8
ČAĐ,24h,30.05.2022,50,6,6,
NO,2 24h,30.05.2022,85,125,2,3
NH3,24h,30.05.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,30.05.2022,50,75,29,23
Benzen,24h,30.05.2022,,,,
SO 2,24h,31.05.2022,125,125,8,8
ČAĐ,24h,31.05.2022,50,5,7,
NO,2 24h,31.05.2022,85,125,2,4
NH3,24h,31.05.2022,100,10,15,
TSP,24h,,120,,,
PM10,24h,31.05.2022,50,75,36,30
Benzen,24h,,,,,
SO 2,24h,01.09.2023,125,125,10,8
ČAĐ,24h,01.09.2023,50,15,12,
NO,2 24h,01.09.2023,85,85,25,10
NH3,24h,01.09.2023,100,18,10,
PM10,24h,01.09.2023,50,50,19,20
Benzen,24h,,,,,
SO 2,24h,02.09.2023,125,125,8,8
ČAĐ,24h,02.09.2023,50,25,16,
NO,2 24h,02.09.2023,85,85,18,16
NH3,24h,02.09.2023,100,10,10,
PM10,24h,02.09.2023,50,50,29,28
Benzen,24h,,,,,
SO 2,24h,03.09.2023,125,125,8,8
ČAĐ,24h,03.09.2023,50,6,4,
NO,2 24h,03.09.2023,85,85,10,9
NH3,24h,03.09.2023,100,10,16,
PM10,24h,03.09.2023,50,50,14,15
Benzen,24h,,,,,
SO 2,24h,04.09.2023,125,125,8,8
ČAĐ,24h,04.09.2023,50,6,3,
NO,2 24h,04.09.2023,85,85,16,10
NH3,24h,04.09.2023,100,10,10,
PM10,24h,04.09.2023,50,50,12,12
Benzen,24h,04.09.2023,,,,
SO 2,24h,05.09.2023,125,125,8,8
ČAĐ,24h,05.09.2023,50,9,6,
NO,2 24h,05.09.2023,85,85,29,14
NH3,24h,05.09.2023,100,21,10,
PM10,24h,05.09.2023,50,50,27,20
Benzen,24h,,,,,
SO 2,24h,06.09.2023,125,125,8,8
ČAĐ,24h,06.09.2023,50,8,6,
NO,2 24h,06.09.2023,85,85,15,8
NH3,24h,06.09.2023,100,10,10,
PM10,24h,06.09.2023,50,50,22,17
Benzen,24h,,,,,
SO 2,24h,07.09.2023,125,125,8,8
ČAĐ,24h,07.09.2023,50,16,17,
NO,2 24h,07.09.2023,85,85,30,17
NH3,24h,07.09.2023,100,10,10,
PM10,24h,07.09.2023,50,50,30,24
Benzen,24h,,,,,
SO 2,24h,08.09.2023,125,125,8,8
ČAĐ,24h,08.09.2023,50,7,10,
NO,2 24h,08.09.2023,85,85,12,13
NH3,24h,08.09.2023,100,10,10,
PM10,24h,08.09.2023,50,50,26,22
Benzen,24h,,,,,
SO 2,24h,09.09.2023,125,125,8,8
ČAĐ,24h,09.09.2023,50,15,21,
NO,2 24h,09.09.2023,85,85,12,11
NH3,24h,09.09.2023,100,10,10,
PM10,24h,09.09.2023,50,50,42,32
Benzen,24h,,,,,
SO 2,24h,10.09.2023,125,125,8,8
ČAĐ,24h,10.09.2023,50,6,11,
NO,2 24h,10.09.2023,85,85,10,9
NH3,24h,10.09.2023,100,10,10,
PM10,24h,10.09.2023,50,50,28,26
Benzen,24h,10.09.2023,,,,
SO 2,24h,11.09.2023,125,125,8,8
ČAĐ,24h,11.09.2023,50,5,10,
NO,2 24h,11.09.2023,85,85,7,11
NH3,24h,11.09.2023,100,10,10,
PM10,24h,11.09.2023,50,50,29,25
Benzen,24h,,,,,
SO 2,24h,12.09.2023,125,125,8,8
ČAĐ,24h,12.09.2023,50,8,10,
NO,2 24h,12.09.2023,85,85,16,11
NH3,24h,12.09.2023,100,10,10,
PM10,24h,12.09.2023,50,50,27,24
Benzen,24h,,,,,
SO 2,24h,13.09.2023,125,125,8,8
ČAĐ,24h,13.09.2023,50,30,33,
NO,2 24h,13.09.2023,85,85,6,10
NH3,24h,13.09.2023,100,10,10,
PM10,24h,13.09.2023,50,50,54,49
Benzen,24h,,,,,
SO 2,24h,14.09.2023,125,125,8,8
ČAĐ,24h,14.09.2023,50,8,12,
NO,2 24h,14.09.2023,85,85,14,10
NH3,24h,14.09.2023,100,10,10,
PM10,24h,14.09.2023,50,50,30,23
Benzen,24h,,,,,
SO 2,24h,15.09.2023,125,125,8,8
ČAĐ,24h,15.09.2023,50,7,5,
NO,2 24h,15.09.2023,85,85,8,10
NH3,24h,15.09.2023,100,10,10,
PM10,24h,15.09.2023,50,50,20,16
Benzen,24h,,,,,
SO 2,24h,16.09.2023,125,125,8,8
ČAĐ,24h,16.09.2023,50,4,4,
NO,2 24h,16.09.2023,85,85,6,8
NH3,24h,16.09.2023,100,10,10,
PM10,24h,16.09.2023,50,50,21,18
Benzene,24h,,,2,,
SO 2,24h,17.09.2023,125,125,8,8
ČAĐ,24h,17.09.2023,50,3,4,
NO,2 24h,17.09.2023,85,85,9,11
NH3,24h,17.09.2023,100,10,10,
PM10,24h,17.09.2023,50,50,18,17
Benzen,24h,,,,,
SO 2,24h,18.09.2023,125,125,8,8
ČAĐ,24h,18.09.2023,50,2,3,
NO,2 24h,18.09.2023,85,85,7,6
NH3,24h,18.09.2023,100,10,10,
PM10,24h,18.09.2023,50,50,24,20
Benzen,24h,,,,,
SO 2,24h,19.09.2023,125,125,8,8
ČAĐ,24h,19.09.2023,50,10,7,
NO,2 24h,19.09.2023,85,85,22,15
NH3,24h,19.09.2023,100,10,19,
PM10,24h,19.09.2023,50,50,30,25
Benzen,24h,,,,,
SO 2,24h,20.09.2023,125,125,8,8
ČAĐ,24h,20.09.2023,50,8,7,
NO,2 24h,20.09.2023,85,85,25,16
NH3,24h,20.09.2023,100,10,10,
PM10,24h,20.09.2023,50,50,22,16
Benzen,24h,,,,,
SO 2,24h,21.09.2023,125,125,8,8
ČAĐ,24h,21.09.2023,50,8,7,
NO,2 24h,21.09.2023,85,85,13,10
NH3,24h,21.09.2023,100,10,10,
PM10,24h,21.09.2023,50,50,28,25
Benzen,24h,,,,,
SO 2,24h,22.09.2023,125,125,8,8
ČAĐ,24h,22.09.2023,50,4,9,
NO,2 24h,22.09.2023,85,85,11,14
NH3,24h,22.09.2023,100,10,10,
PM10,24h,22.09.2023,50,50,38,35
Benzen,24h,22.09.2023,,,,
SO 2,24h,23.09.2023,125,125,8,8
ČAĐ,24h,23.09.2023,50,4,5,
NO,2 24h,23.09.2023,85,85,12,8
NH3,24h,23.09.2023,100,10,10,
PM10,24h,23.09.2023,50,50,31,28
Benzen,24h,,,,,
SO 2,24h,24.09.2023,125,125,8,8
ČAĐ,24h,24.09.2023,50,4,3,
NO,2 24h,24.09.2023,85,85,8,8
NH3,24h,24.09.2023,100,10,10,
PM10,24h,24.09.2023,50,50,9,8
Benzen,24h,,,,,
SO 2,24h,25.09.2023,125,125,8,8
ČAĐ,24h,25.09.2023,50,5,7,
NO,2 24h,25.09.2023,85,85,12,15
NH3,24h,25.09.2023,100,10,10,
PM10,24h,25.09.2023,50,50,19,15
Benzen,24h,,,,,
SO 2,24h,26.09.2023,125,125,8,8
ČAĐ,24h,26.09.2023,50,24,33,
NO,2 24h,26.09.2023,85,85,30,21
NH3,24h,26.09.2023,100,10,10,
PM10,24h,26.09.2023,50,50,39,28
Benzen,24h,,,,,
SO 2,24h,27.09.2023,125,125,8,8
ČAĐ,24h,27.09.2023,50,15,13,
NO,2 24h,27.09.2023,85,85,36,20
NH3,24h,27.09.2023,100,10,10,
PM10,24h,27.09.2023,50,50,42,34
Benzen,24h,,,,,
SO 2,24h,28.09.2023,125,125,8,8
ČAĐ,24h,28.09.2023,50,19,15,
NO,2 24h,28.09.2023,85,85,29,17
NH3,24h,28.09.2023,100,10,10,
PM10,24h,28.09.2023,50,50,50,38
Benzene,24h,,,2,,
SO 2,24h,29.09.2023,125,125,8,8
ČAĐ,24h,29.09.2023,50,21,16,
NO,2 24h,29.09.2023,85,85,41,20
NH3,24h,29.09.2023,100,10,10,
PM10,24h,29.09.2023,50,50,49,40
Benzen,24h,,,,,
SO 2,24h,30.09.2023,125,125,8,8
ČAĐ,24h,30.09.2023,50,10,7,
NO,2 24h,30.09.2023,85,85,24,13
NH3,24h,30.09.2023,100,10,10,
PM10,24h,30.09.2023,50,50,34,28
Benzen,24h,,,,,
SO 2,24h,01.03.2021,125,125,8,8
ČAĐ,24h,01.03.2021,50,12,11,10
NO,2 24h,01.03.2021,85,125,8,17
NH3,24h,01.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,01.03.2021,6,,,
UV,24h,01.03.2021,11,,,
Benzen,24h,,,,,
SO 2,24h,02.03.2021,125,125,8,8
ČAĐ,24h,02.03.2021,50,37,29,37
NO,2 24h,02.03.2021,85,125,40,5
NH3,24h,02.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,02.03.2021,50,75,78,
BC,24h,02.03.2021,6,,,
UV,24h,02.03.2021,10,,,
Benzen,24h,,,,,
SO 2,24h,03.03.2021,125,125,8,8
ČAĐ,24h,03.03.2021,50,38,30,28
NO,2 24h,03.03.2021,85,125,26,40
NH3,24h,03.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.03.2021,10,,,
UV,24h,03.03.2021,18,,,
Benzen,24h,,,,,
SO 2,24h,04.03.2021,125,125,8,8
ČAĐ,24h,04.03.2021,50,75,71,80
NO,2 24h,04.03.2021,85,125,30,28
NH3,24h,04.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,04.03.2021,11,,,
UV,24h,04.03.2021,19,,,
Benzen,24h,,,,,
SO 2,24h,05.03.2021,125,125,8,8
ČAĐ,24h,05.03.2021,50,7,7,8
NO,2 24h,05.03.2021,85,125,7,8
NH3,24h,05.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,05.03.2021,50,75,26,
BC,24h,05.03.2021,7,,,
UV,24h,05.03.2021,12,,,
Benzen,24h,,,,,
SO 2,24h,06.03.2021,125,125,8,8
ČAĐ,24h,06.03.2021,50,16,26,22
NO,2 24h,06.03.2021,85,125,16,18
NH3,24h,06.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.03.2021,3,,,
UV,24h,06.03.2021,6,,,
Benzene,24h,,,2,,
SO 2,24h,07.03.2021,125,125,8,8
ČAĐ,24h,07.03.2021,50,33,43,30
NO,2 24h,07.03.2021,85,125,32,33
NH3,24h,07.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,07.03.2021,8,,,
UV,24h,07.03.2021,18,,,
Benzen,24h,,,,,
SO 2,24h,08.03.2021,125,125,8,8
ČAĐ,24h,08.03.2021,50,12,10,16
NO,2 24h,08.03.2021,85,125,17,13
NH3,24h,08.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,08.03.2021,50,75,40,
BC,24h,08.03.2021,6,,,
UV,24h,08.03.2021,13,,,
Benzen,24h,,,,,
SO 2,24h,09.03.2021,125,125,8,8
ČAĐ,24h,09.03.2021,50,8,11,8
NO,2 24h,09.03.2021,85,125,18,18
NH3,24h,09.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,09.03.2021,2,,,
UV,24h,09.03.2021,6,,,
Benzen,24h,,,,,
SO 2,24h,10.03.2021,125,125,8,8
ČAĐ,24h,10.03.2021,50,18,25,30
NO,2 24h,10.03.2021,85,125,23,18
NH3,24h,10.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,10.03.2021,2,,,
UV,24h,10.03.2021,5,,,
Benzen,24h,,,,,
SO 2,24h,11.03.2021,125,125,8,8
ČAĐ,24h,11.03.2021,50,13,11,8
NO,2 24h,11.03.2021,85,125,16,17
NH3,24h,11.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,11.03.2021,50,75,29,
BC,24h,11.03.2021,2,,,
UV,24h,11.03.2021,5,,,
Benzen,24h,,,,,
SO 2,24h,12.03.2021,125,125,8,8
ČAĐ,24h,12.03.2021,50,23,17,20
NO,2 24h,12.03.2021,85,125,18,21
NH3,24h,12.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,12.03.2021,4,,,
UV,24h,12.03.2021,8,,,
Benzene,24h,,,2,,
SO 2,24h,13.03.2021,125,125,8,8
ČAĐ,24h,13.03.2021,50,8,11,8
NO,2 24h,13.03.2021,85,125,14,18
NH3,24h,13.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,13.03.2021,2,,,
UV,24h,13.03.2021,6,,,
Benzen,24h,,,,,
SO 2,24h,14.03.2021,125,125,8,8
ČAĐ,24h,14.03.2021,50,5,6,7
NO,2 24h,14.03.2021,85,125,14,14
NH3,24h,14.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,14.03.2021,50,75,23,
BC,24h,14.03.2021,2,,,
UV,24h,14.03.2021,6,,,
Benzen,24h,,,,,
SO 2,24h,15.03.2021,125,125,8,8
ČAĐ,24h,15.03.2021,50,4,4,4
NO,2 24h,15.03.2021,85,125,15,12
NH3,24h,15.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,15.03.2021,1,,,
UV,24h,15.03.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,16.03.2021,125,125,8,8
ČAĐ,24h,16.03.2021,50,4,4,4
NO,2 24h,16.03.2021,85,125,10,10
NH3,24h,16.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,16.03.2021,1,,,
UV,24h,16.03.2021,2,,,
Benzen,24h,,,,,
SO 2,24h,17.03.2021,125,125,8,8
ČAĐ,24h,17.03.2021,50,5,4,4
NO,2 24h,17.03.2021,85,125,16,9
NH3,24h,17.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,17.03.2021,50,75,16,
BC,24h,17.03.2021,1,,,
UV,24h,17.03.2021,3,,,
Benzen,24h,,,,,
SO 2,24h,18.03.2021,125,125,8,8
ČAĐ,24h,18.03.2021,50,6,4,6
NO,2 24h,18.03.2021,85,125,13,12
NH3,24h,18.03.2021,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,18.03.2021,2,,,
UV,24h,18.03.2021,5,,,
Benzen,24h,18.03.2021,,,,
SO 2,24h,19.03.2021,125,125,8,8
ČAĐ,24h,19.03.2021,50,13,11,16
NO,2 24h,19.03.2021,85,125,24,25
NH3,24h,19.03.2021,100,5,7,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,19.03.2021,3,,,
UV,24h,19.03.2021,6,,,
Benzen,24h,,,,,
SO 2,24h,20.03.2021,125,125,8,8
